f_name,score_weight,score_gain,score_importance
网页搜索top5,3,39.33913333333333,3
手机配件,72,77.23326956944443,72
电影_恐怖,32,42.2177084375,32
电影_运动,9,29.829777777777775,9
电视剧_宫廷剧,2,26.323999999999998,2
电视剧_军旅,8,35.59819125,8
新闻媒体top5,1,24.5558,1
IT数码,49,46.261810448979574,49
索尼,1,46.9485,1
魅族,133,77.98511894736842,133
在线视频top5,12,39.61870475,12
投资金融,37,64.32829989189187,37
电视剧_农村,1,32.6509,1
网络服务应用,69,45.092028695652196,69
综艺_搞笑,1,40.3408,1
电影_剧情,42,29.283242071428578,42
综艺_情感,2,29.038885,2
电影_纪录,4,30.276064999999996,4
电影_奇幻,6,61.71213333333333,6
综艺_娱乐节目,7,54.0336,7
综艺_优酷出品,54,40.60948831481481,54
三星,5,37.04244,5
在线音乐top5,13,61.287476153846164,13
华为,21,32.96873385714285,21
电影_网络,3,39.860733333333336,3
政史军事top5,14,68.75740928571427,14
游戏top5,4,32.331222,4
电视剧_优酷出品,1,31.5489,1
电视剧_悬疑,23,45.620123043478266,23
财经资讯top5,5,28.790348,5
游戏,76,95.17548989473686,76
电影_悬疑,12,64.878475,12
综艺_游戏,11,31.113872727272724,11
电影_音乐,3,29.04872333333334,3
电视剧_年代,18,45.97551572222223,18
银行门户top5,15,63.702340666666665,15
电影_院线,16,76.34455125000001,16
女性时尚top5,15,20.88749186666667,15
Surpass,155,258.3214356774192,155
新闻媒体,73,39.67634230136985,73
电影_青春,3,38.30363333333333,3
理财指数,78,39.9456242948718,78
网络购物指数,194,57.86528257731959,194
电影_犯罪,3,18.749263333333335,3
广告联盟top5,17,125.95948235294118,17
综艺_腾讯出品,3,58.7523,3
p2p金融top5,3,48.60403333333333,3
其他,6,19.024768333333334,6
视频网站top5,4,32.782250000000005,4
电视剧_言情,64,43.80057355781249,64
平均停留时间,262,33.08559262179389,262
电视剧_喜剧,23,71.17435795652175,23
电视剧_网络,1,52.262,1
电影_冒险,11,53.16673,11
出行指数,45,39.227985333333336,45
学习指数,82,65.23309829268295,82
常用网站top5,1,82.3671,1
在线视频,111,85.08122988288285,111
电视剧_刑侦,37,74.25959135135136,37
电影_喜剧,47,28.76103553191488,47
联想,3,45.44146666666666,3
努比亚,7,36.48217142857142,7
交通旅游,22,23.92195109090909,22
综艺_生活,7,55.74810142857143,7
在线视频指数,129,35.42684322325582,129
垂直行业,10,46.410849999999996,10
网络活跃指数,114,41.87508043508769,114
综艺_优酷牛人,14,40.657852857142856,14
电视剧_家庭,14,29.90996285714286,14
人才招聘top5,8,26.98002,8
电视剧_军事,1,34.5722,1
京东,133,138.87815722105262,133
电影_微电影,11,40.40487363636364,11
性别,20,24.760038050000002,20
综艺_综合,11,37.44774545454545,11
乐视,8,46.5031125,8
综艺_相亲,4,28.2467,4
网址导航,92,49.70813216304346,92
常用电商top5,2,23.697795,2
电子商务,95,40.80094441052633,95
团购top5,6,42.95383666666667,6
综艺_真人秀,64,32.767389374999986,64
电子支付top5,6,18.609756983333334,6
休闲娱乐,26,29.631312692307688,26
生活服务,43,38.44161674418605,43
彩票网站top5,6,30.1731,6
搜索服务,118,36.240602294915256,118
音乐,32,67.95025625,32
电视剧_战争,38,56.323467894736844,38
小米,24,53.9862625,24
电视剧_时装,5,30.129237999999997,5
综艺_访谈,3,34.475500000000004,3
电视剧_青春,21,40.11787142857142,21
电视剧_商战剧,1,40.4882,1
女性时尚,37,45.29068891891892,37
购物倾向top5,6,31.026,6
奢侈品top5,3,47.727533333333334,3
综艺_脱口秀,6,34.36824166666667,6
网址导航top5,20,80.25090500000002,20
人才招聘,12,31.623949166666666,12
电视剧_罪案,1,41.9862,1
房产家居,38,47.990627368421045,38
母婴指数,47,40.81134359999999,47
电影_爱情,10,32.83976,10
电视剧_都市,12,52.94279499999999,12
动漫top5,2,13.211849999999998,2
学历,12,30.660504166666666,12
电视剧_片花,14,23.373296285714286,14
电视剧_偶像,6,42.41781666666667,6
社交网络和在线社区,35,35.92336628571428,35
电影_科幻,7,35.815622857142856,7
电影_动作,29,76.21046517241378,29
电视剧_情感,14,45.26401071428571,14
综艺_曲艺,21,39.90204142857143,21
医疗保健,30,30.91835133333333,30
婚恋网站top5,5,50.440555999999994,5
医疗健康top5,4,34.359975,4
苹果,10,45.54588,10
汽车,39,30.81849044871794,39
专业,53,37.97404090566038,53
电影_战争,48,64.62981270833335,48
电视剧_神话,1,7.7413,1
电影_惊悚,5,13.282620399999999,5
笑话top5,6,10.814539666666667,6
酷派,2,34.30955,2
汽车网站top5,10,37.45268,10
电视剧_剧情,40,37.211422099999986,40
电视剧_历史,23,43.930312,23
电视剧_武侠,8,40.65630375,8
教学及考试,8,29.42606,8
电影_优酷出品,7,26.879634285714285,7
年龄,25,33.31428720000001,25
电影_动画,6,32.99273333333333,6
