f_name,score_weight,score_gain,score_importance
综艺_游戏,13,45.28766076923077,13
电影_犯罪,4,13.31696,4
电影_恐怖,36,49.38412388888887,36
综艺_搞笑,1,85.9449,1
综艺_访谈,13,28.101503846153847,13
电视剧_军旅,8,45.83616874999999,8
垂直行业,25,38.19179291999999,25
电视剧_都市,10,67.22089499999998,10
专业,57,33.374784912280695,57
电视剧_农村,2,22.88255,2
电影_动画,5,41.01057999999999,5
投资金融,44,30.747341590909084,44
社交网络和在线社区,53,32.00243566037735,53
电影_网络,6,21.63886666666667,6
综艺_娱乐节目,7,63.22792857142857,7
电视剧_偶像,9,41.33207,9
魅族,119,79.97491672268909,119
综艺_综合,8,35.14247374999999,8
电影_科幻,10,36.144556,10
电影_喜剧,42,28.991916204047623,42
生活服务,46,38.168777250000005,46
综艺_优酷牛人,27,45.88137888888888,27
电影_院线,25,96.81850359999999,25
乐视,10,40.87169999999999,10
电影_剧情,51,36.58339098039215,51
电影_运动,10,30.701960000000003,10
平均停留时间,293,29.07344093856654,293
网址导航,118,41.25836991525427,118
电视剧_战争,64,60.81008120312498,64
交通旅游,28,30.1255,28
电视剧_武侠,12,54.697383333333335,12
微软,1,33.8246,1
电子商务,109,38.935757458715614,109
电影_青春,2,30.47065,2
教学及考试,10,35.92548000000001,10
电影_音乐,6,32.50731666666667,6
学历,29,37.36534068965517,29
综艺_优酷出品,57,42.95238839580703,57
综艺_腾讯出品,6,40.788383333333336,6
京东,146,128.66338853767124,146
性别,14,26.591240142857146,14
游戏,80,84.51791042999997,80
电影_优酷出品,3,75.46946666666668,3
电视剧_言情,88,45.362343685795445,88
综艺_相亲,6,23.841595,6
电视剧_情感,9,37.34948444444444,9
电视剧_历史,20,34.3081353,20
综艺_真人秀,57,34.66327679824562,57
女性时尚,36,40.832067611111114,36
年龄,50,40.675617120000005,50
其他,15,31.667739484666665,15
电影_惊悚,7,33.776468571428566,7
网络服务应用,82,45.31245121951221,82
小米,40,49.937963,40
电视剧_家庭,18,26.826074322222222,18
房产家居,51,62.031690000000005,51
电影_武侠,1,0.45309,1
IT数码,70,52.341518514285724,70
华为,10,18.886102,10
综艺_生活,6,43.90445,6
Surpass,201,196.8301476268656,201
汽车,38,24.609719184210523,38
电影_战争,71,52.48966056338029,71
努比亚,19,28.76097368421053,19
医疗保健,23,37.78486434782609,23
OPPO,15,36.51959133333334,15
新闻媒体,103,30.927156356310675,103
联想,3,37.778533333333336,3
电视剧_罪案,1,45.3835,1
手机配件,75,66.995289452,75
电影_动作,26,72.89819250384616,26
电视剧_喜剧,27,35.28002814814815,27
电影_微电影,6,60.58141666666668,6
电影_奇幻,7,52.115342857142856,7
综艺_选秀,5,33.381114000000004,5
电视剧_青春,13,54.96792307692307,13
苹果,27,36.86566333333332,27
电视剧_科幻,1,12.1109,1
休闲娱乐,26,31.134794999999997,26
电影_纪录,2,40.43215,2
电视剧_时装,12,45.22891666666666,12
电视剧_刑侦,63,60.01980898412699,63
电视剧_悬疑,31,42.94351354838711,31
综艺_曲艺,6,26.897330766666666,6
综艺_脱口秀,3,24.183966666666667,3
电视剧_片花,21,47.91245904761905,21
电影_冒险,20,47.45211735000001,20
音乐,26,46.7629325,26
电影_爱情,15,41.27249199999999,15
电视剧_年代,26,53.6959626923077,26
电视剧_军事,7,50.28237142857142,7
搜索服务,120,39.27222960000001,120
在线视频,134,84.05289451492534,134
电视剧_剧情,60,49.51075178333334,60
电影_悬疑,14,35.792698307142864,14
中兴,5,31.651699999999998,5
电视剧_神话,1,25.5945,1
电视剧_宫廷剧,2,43.68615,2
酷派,2,36.12315,2
电视剧_商战剧,1,42.0511,1
三星,12,35.5404,12
综艺_情感,6,21.327598333333334,6
电影_文艺,3,30.57983,3
